,Date,Team,Player,Leg Code,Game,3DA,W/A
40,2/11/19,Never Convicted,Peter Citera,7.1,301 DIDO,128.5,A
70,2/26/19,N.W.O.,Brian Fenlon,9.1,501 SIDO,128.3,A
53,1/22/19,Con dArtists,John Leighton,7.3,301 DIDO,115.5,W
6,", 3-5-19",N.W.O.,Brian Fenlon,2.1,301 DIDO,110,A
66,1/15/19,N.W.O.,Brian Fenlon,9.3,501 SIDO,108.4,W
6,2/12/19,N.W.O.,Brian Fenlon,2.1,301 DIDO,107.1,W
65,", 3-5-19",Beer B4 Bulls!,Anne Quinn,9.3,501 SIDO,106.7,W
67,1/15/19,N.W.O.,Angel Gonzalez,9.3,501 SIDO,106,A
32,", 3-5-19",N.W.O.,Brian Fenlon,6.1,501 SIDO,105.7,A
6,1/21/19,MasterGators,Timothy Smith,2.1,301 DIDO,105,W
60,3/19/19,Cork Busters,Nick Georgeson,9.1,501 SIDO,103.7,A
38,2/18/19,Happy Accident,Dean Bratsolias,6.3,501 SIDO,103,A
65,2/26/19,Cork Busters,Liz Tynan,9.2,501 SIDO,101.3,A
3,2/26/19,Con dArtists,Joey Aiello,1.2,501 SIDO,100.2,W
15,2/26/19,Con dArtists,John Leighton,2.3,301 DIDO,98.5,A
15,3/19/19,Cork Busters,Nick Cecere,2.3,501 SIDO,97.3,A
35,2/12/19,Trip 'N' Bulls,David Trimble Jr,6.1,301 DIDO,96.5,A
63,1/15/19,Beer B4 Bulls!,Anne Quinn,9.2,501 SIDO,95.7,A
10,1/29/19,The Reveler,Chris Zaylor,2.2,301 DIDO,95.1,W
67,2/11/19,Funky Bunch,Tom  Terzic Jr,9.2,501 SIDO,95,A
39,", 2-5-19",Be Somebody!,Brad Bouxsein,6.1,301 DIDO,95,A
49,3/12/19,Con dArtists,Brendan Stanford,7.2,301 DIDO,94,A
36,3/19/19,Con dArtists,Danny Morales,6.2,301 DIDO,94,A
0,3/11/19,Shuuush!,John Gannon,1.1,501 SIDO,93.9,W
4,3/25/19,Tripwire,Ron Kulowitch,1.3,501 SIDO,93.9,W
41,", 2-5-19",Cork Busters,Liz Tynan,6.1,301 DIDO,92.5,0
37,2/19/19,Be Somebody!,David Scholtes,6.1,301 DIDO,92.1,W
39,2/19/19,N.W.O.,John McCreery,5.3,301 DIDO,92,0
48,1/21/19,Funky Bunch,Mark Gillespie,7.1,301 DIDO,91.9,W
50,1/22/19,N.W.O.,Brian Fenlon,9.1,501 SIDO,91.9,W
67,1/29/19,Con dArtists,Craig Eitings,9.3,501 SIDO,91.7,A
53,2/25/19,Kiss My Blarney Stone,Ben Thulin,9.1,501 SIDO,91.5,W
55,", 3-4-19",Funky Bunch,Tom  Terzic Jr,9.1,501 SIDO,90.3,W
28,2/12/19,N.W.O.,Brian Fenlon,5.1,301 DIDO,90.3,W
16,3/19/19,N.W.O.,Brian Fenlon,2.3,501 SIDO,90.3,0
71,", 2-5-19",Con dArtists,John Leighton,9.2,501 SIDO,90,A
49,2/19/19,Lunch Specials,Marty LaBelle,7.2,301 DIDO,89.6,W
6,3/19/19,Cork Busters,Nick Georgeson,2.1,301 DIDO,89.6,W
56,", 3-4-19",Try Not to Suck!,Dave Yang,9.2,501 SIDO,89.5,W
43,2/26/19,Cork Busters,Liz Tynan,7.1,301 DIDO,89.5,A
8,2/19/19,Silver Bullet Boys,Colin Brooks,2.2,501 SIDO,89.1,W
4,2/26/19,Cork Busters,Liz Tynan,1.3,501 SIDO,88.4,W
67,1/22/19,The Deuce,Jesus Uribe,9.2,501 SIDO,88.3,0
60,2/26/19,Cork Busters,Nick Georgeson,9.1,501 SIDO,88,A
11,1/22/19,Fighting Fish,Mike Hobin,2.2,501 SIDO,87.3,0
57,", 3-5-19",Beer B4 Bulls!,Anne Quinn,9.1,501 SIDO,87,0
47,", 4-9-19",Be Somebody!,Rob Ethington,7.2,301 DIDO,87,W
43,1/22/19,The Deuce,Jesus Uribe,6.2,501 SIDO,86.8,W
4,", 2-5-19",The Deuce,Cosmin Macris,2.1,301 DIDO,86.7,W
47,2/11/19,O.T.B.A.,Bob Lohman,7.1,301 DIDO,86.5,A
6,1/15/19,N.W.O.,Brian Fenlon,2.1,301 DIDO,86.5,A
60,3/12/19,Full of Bull,Frank Burton,9.2,501 SIDO,86.4,W
63,2/19/19,Beer B4 Bulls!,Alvin Elton,9.2,501 SIDO,85.9,W
65,", 2-4-19",Flights Templar,Kyle Schrage,9.1,501 SIDO,85.8,W
59,", 3-4-19",Funky Bunch,Tom  Terzic Jr,9.2,501 SIDO,85.7,0
65,", 2-5-19",Motley Crew,Kevin Askham,9.2,501 SIDO,85.6,W
62,", 3-7-19",140 Darts,Jimmy Stathopoulos,9.1,501 SIDO,85.6,W
5,1/15/19,Team Fireball,Greg Maciaszkiewicz,2.1,301 DIDO,85.5,A
61,3/11/19,Incredibulls,Ted Browne,7.2,301 DIDO,85.5,A
54,1/22/19,N.W.O.,Brian Fenlon,9.2,501 SIDO,85.5,W
41,2/18/19,Drifters,Dustin Scholtes,6.3,501 SIDO,85,0
59,2/26/19,Dart Team,Bruk Hanson,7.3,301 DIDO,84.9,W
10,3/20/19,140 Darts,Sam Morgan,2.2,501 SIDO,84.5,W
41,1/22/19,N.W.O.,Angel Gonzalez,7.2,301 DIDO,84.5,W
9,2/19/19,Be Somebody!,Rob Ethington,2.1,301 DIDO,84.5,A
61,2/19/19,Silver Bullet Boys,Johnny Madden,9.2,501 SIDO,84.3,0
11,2/11/19,Wolfpack,Calvin J Klemundt,2.2,301 DIDO,84,W
3,2/12/19,Con dArtists,John Leighton,1.2,501 SIDO,83.5,W
2,1/22/19,N.W.O.,John McCreery,1.2,501 SIDO,83.5,W
11,1/15/19,Beer B4 Bulls!,Alvin Elton,2.2,301 DIDO,83.5,A
12,", 2-5-19",Trip 'N' Bulls,Tom Shields,2.3,501 SIDO,83.3,0
36,", 4-9-19",N.W.O.,Brian Fenlon,6.2,501 SIDO,83.3,0
61,2/12/19,Dart Daddies,Andy Clarke,7.3,301 DIDO,83.1,W
32,3/19/19,Dart Team,Alex Falk Jr,6.1,301 DIDO,83,A
61,", 3-5-19",Beer B4 Bulls!,Anne Quinn,9.2,501 SIDO,83,A
68,3/19/19,Cork Busters,Nick Georgeson,9.3,501 SIDO,83,0
51,", 4-8-19",Funky Bunch,Tony Metz,7.2,301 DIDO,82.9,W
